DATA,2012,2013,2014,2015,2016,2017,2018,2019
Bank 1,825,846,846,847,865,862,850,868
Bank 2,810,829,845,845,853,848,846,872
Bank 3,834,822,836,833,850,856,844,854
Bank 4,797,808,825,789,820,823,832,853
Bank 5,849,851,851,851,858,862,842,861
Bank 6,838,841,825,840,845,848,829,853
Bank 7,787,803,798,828,845,843,840,849
Bank 8,792,800,815,821,835,834,832,849
Bank 9,795,807,820,825,843,834,839,855
Bank 10,834,837,826,842,839,853,838,868
Bank 11,810,833,837,838,852,858,849,871
Bank 12,807,820,807,815,845,837,848,846
Bank 13,811,800,804,805,831,831,827,847
Bank 14,804,827,829,829,837,836,823,854
Bank 15,784,798,798,790,830,828,818,852
Bank 16,818,811,824,815,848,837,833,851
Bank 17,795,786,794,803,817,817,819,856
Bank 18,823,829,811,831,837,850,827,866
Bank 19,775,775,769,783,806,813,800,832
Bank 20,757,771,789,804,813,822,809,852
Bank 21,767,759,757,704,751,768,771,811
Bank 22,772,761,755,758,791,792,787,826
Industry Average,795,800,804,812,830,832,824,846
Financial Savings,774,785,805,833,839,843,827,836
